Person,Responsibility,imdbID
Jan Meininghaus,story,tt1950211
Jim Hendrik Meininghaus,story,tt1950211
Thea von Harbou,novel,tt0019901
Fritz Lang,screenplay,tt0019901
Hermann Oberth,scientific material,tt0019901
Thea von Harbou,manuscript,tt0019901
Aldous Huxley,book,tt0145600
Dan Mazur,teleplay,tt0145600
David Tausik,teleplay,tt0145600
Harold Buchman,screenplay,tt0031732
Harold Buchman,story,tt0031732
Fernando Arrabal,by,tt0066530
Fernando Arrabal,novel,tt0066530
Claudine Lagrive,scenario writer,tt0066530
Kotarô Ohgimi,based upon the stage play by,tt1697978
Naoya Ohshiro,screenplay,tt1697978
Cherie Bennett,book,tt7241550
Ella Gabriel,collaborating writer,tt7241550
Jeff Gottesfeld,book,tt7241550
Matthew Weiss,screenplay,tt7241550
Donn Pearce,screenplay,tt0061512
Frank Pierson,screenplay,tt0061512
Donn Pearce,novel,tt0061512
Lan Ke,novel,tt0087433
Ziliang Zhang,screenplay,tt0087433
Grace Paley,stories,tt0085494
Mike Milo,created & written by,tt0950505
Atul N. Rao,created & written by,tt0950505
Scott Bosch,screenplay,tt2280362
Jason Taylor,screenplay,tt2280362
Gabriel Desplanque,story,tt5136418
Luis Spota,novel,tt0077287
Paulo Coelho,novel,tt1391583
Aaron J. March,screenplay,tt1391583
Parris Reaves,written for the screen by,tt1391583
Lynn Dougherty,adaptation,tt1391583
Sylvia Fodor,script,tt1391583
Robert Ellis,screen play,tt0031148
Helen Logan,screen play,tt0031148
Gina Kaus,based on a play by,tt0031148
Ladislas Fodor,based on a play by,tt0031148
Earl Derr Biggers,"based on: the character ""Charlie Chan"" created by",tt0031148
Adam Bertocci,additional writer,tt5985310
Harold Shumate,screenplay,tt0016189
Harold Shumate,story,tt0016189
Jeff Chiba Stearns,screenplay,tt1219801
Dan Bush,script collaborator,tt3312180
Ayn Rand,novel,tt0035130
Corrado Alvaro,adaptation,tt0035130
Orio Vergani,adaptation,tt0035130
Anton Giulio Majano,screenplay,tt0035130
Kaori Oda,story,tt1811300
Rodolphe-Maurice Arlaud,adaptation,tt0055854
René Cortade,adaptation,tt0055854
Alain Decaux,adaptation,tt0055854
Stellio Lorenzi,adaptation,tt0055854
André Maurois,novel,tt0055854
Michèle O'Glor,adaptation,tt0055854
Ferran Torrent,novel,tt0095717
Ricky DeBats,screenplay,tt2520610
Andrew List,story,tt2520610
John Carpenter,characters,tt1894479
Kim Henkel,characters,tt1894479
Tobe Hooper,characters,tt1894479
Ron Kurz,characters,tt1894479
Victor Miller,characters,tt1894479
David J. Schow,characters,tt1894479
Frances Langford,article,tt0043942
Bob Brown,story,tt0415739
Richard Cassvan,story,tt2133292
Alexandra Punales,story,tt2133292
Alex Lane,story,tt3118694
Ted Welch,story,tt1993346
Nick Maltby,story,tt1466428
Andrew Montgomery,story,tt1466428
Erika Yeomans,screenplay,tt0814272
Jean-Marie Poiré,collaborating writer,tt0076684
John Kaylin,creator,tt3462498
John Kaylin,screenplay,tt3462498
Massimiliano Capriccioli,story,tt0063556
Roberto Fizz,screenplay,tt0063556
Roberto Fizz,story,tt0063556
Isadore Klein,story,tt0147964
Luis Felipe Moreno Barragán,story,tt5230024
Kikumi Yamagishi,screenplay,tt2916416
Jack Kirby,comic book by,tt4154796
Christopher Markus,screenplay,tt4154796
Stephen McFeely,screenplay,tt4154796
Jim Starlin,comic book,tt4154796
Ian Rodgers,story,tt4677550
Hettie Grey Baker,scenario,tt0003283
Herbert Trench,poem,tt0003283
Trevor Markwart,story,tt0869152
Trevor Markwart,screenplay,tt0869152
Carl Bessai,screenplay,tt0869152
Doug Taylor,screenplay,tt0869152
Denny Dias,story,tt1645857
John W. Dunn,story,tt0170388
Sergio Martino,story,tt0099297
Hans Jaray,translation,tt0336077
Jack Popplewell,play,tt0336077
Joseph Maurer,teleplay,tt0339343
Debra Frank,teleplay,tt0339343
Steve L. Hayes,teleplay,tt0339343
Joseph Maurer,story,tt0339343
Leo Luz,screenplay collaborator,tt4491640
Gustavo Cerbasi,based on the book,tt4491640
Harley Granville-Barker,english version,tt4313554
Helen Granville-Barker,english version,tt4313554
Gregorio Martínez Sierra,play,tt4313554
Edward Sheldon,play,tt0161451
Hsing-kuo Hsieh,screenplay,tt0093228
Noel Estillore,story,tt3909220
Zachary Labin,head writer,tt5488396
Jan Fischer,story,tt0093437
James Jeremias,story,tt0093437
Jan Fischer,screenplay,tt0093437
James Jeremias,screenplay,tt0093437
Jeffrey Boam,screenplay,tt0093437
Rony Patel,story,tt2308593
Yukio Mishima,novel,tt0468753
Chihiro Itô,screenplay,tt0468753
Shinsuke Sato,screenplay,tt0468753
Douglas Foster,screenplay,tt0031982
Sheldon Lettich,characters by,tt5843838
Boaz Yakin,characters by,tt5843838
Max Afford,play,tt3589886
Austin Parker,screen play,tt0024144
Sheridan Gibney,screen play,tt0024144
Joseph Santley,from the story by,tt0024144
Vincent Poymiro,contributing writer,tt3169710
Alexandre Dumas,novel,tt0040876
Robert Ardrey,screenplay,tt0040876
Cica Oyama,story,tt1688691
Thom Lange,screenplay,tt0400242
Thom Lange,story,tt0400242
Tim McCall,story,tt0400242
Charles Hall,play,tt5304586
Bill O'Brien,book,tt0839938
Diego Dubcovsky,novel,tt1576382
Greg Igna De Dios,story,tt0359575
Craig Gerber,creator,tt2137286
Harvey Gates,scenario,tt0005649
A.M. Williamson,story,tt0005649
C.N. Williamson,story,tt0005649
Charlie Drake,additional material,tt0055293
T.J. Morrison,story,tt0055293
Lew Schwarz,screenplay,tt0055293
Brian DeCubellis,screenplay,tt3100274
Colin Harrison,novel,tt3100274
Dave Campfield,screenplay,tt2174926
Joe Randazzo,screenplay,tt2174926
Joe Randazzo,story,tt2174926
Sean Steffen,story,tt2174926
Charles Dickens,novel,tt1965171
Siham Douguena,script,tt0424261
Don Bartlett,story,tt0009012
John Patrick,screenplay,tt0048316
Han Suyin,novel,tt0048316
Jarmo Puskala,original concept,tt1034314
Johanna Sinisalo,based on a story by,tt1034314
Michael Kalesniko,screenplay by,tt1034314
Timo Vuorensola,screenplay by,tt1034314
Nicholas Meyer,teleplay,tt0073454
Anthony Wilson,teleplay,tt0073454
Nicholas Meyer,story,tt0073454
Howard Koch,"radio play ""Invasion from Mars""",tt0073454
Wilson Rawls,"characters created in the novel ""Where The Red Fern Grows""",tt0111695
Samuel Bradford,screenplay,tt0111695
Jacob Grimm,original story,tt0999910
Wilhelm Grimm,original story,tt0999910
Tomoe Takashi,script,tt0999910
Warren Dudley,screenplay,tt2179231
Denys Desjardins,original idea,tt5205046
Didier Caron,play,tt0423444
Didier Caron,screenplay,tt0423444
Ben Barzman,screenplay,tt0037522
Richard H. Landau,screenplay,tt0037522
Æneas MacKenzie,original story,tt0037522
William Gordon,original story,tt0037522
Misa Yamamura,based on the novel by,tt2012560
Hiroshi Nagano,teleplay,tt2012560
Chien Chin,screenplay,tt0073622
Ting Hung Kuo,story,tt0073622
Han Meng,story,tt0073622
Jason Impey,screenplay,tt1496897
Sydney Boehm,screenplay,tt0054295
Max Catto,novel,tt0054295
Andreas Gruber,screenplay,tt4171982
Elisabeth Escher,novel,tt4171982
Bérénice André,adaptation,tt4040042
Bérénice André,dialogue,tt4040042
Agnès Caffin,adaptation,tt4040042
Agnès Caffin,dialogue,tt4040042
Olivier Loustau,adaptation,tt4040042
Olivier Loustau,dialogue,tt4040042
Olivier Loustau,screenplay,tt4040042
Bill Scott,story,tt0040182
Lloyd Turner,story,tt0040182
Leo McCarey,story,tt0020087
Marcia Lamb,story,tt0296187
Marion Jackson,screenplay,tt0018076
